3500	11750	250
2.0	5.0	0.5
	8	g	r	i	z	J	H	K
3500.0	2.0	47894.2969675858	95252.57878308765	189951.06915893639	223797.59597225042	199655.27194006005	168269.996009979	72870.22534147333
3500.0	2.5	52595.1502664447	97530.04369102852	195774.11682290587	231440.79608445056	203038.7276571254	165597.0375150709	70320.79462483003
3500.0	3.0	57930.230663848386	102675.05388786607	204795.29679272417	240884.2071901356	205681.66556402433	160304.81680675424	66955.29823110298
3500.0	3.5	61711.78871274394	110249.32548299256	216136.78490421534	249260.71103706997	203382.46075908482	149140.68951059732	62043.513282869084
3500.0	4.0	66285.90043953432	122823.8894193193	230444.87579756262	258645.27257173893	199217.06638603346	131864.3504647886	56296.717593489804
3500.0	4.5	71142.2824904048	139603.12160658522	243540.1727524515	265858.25252020237	195445.298844032	118965.4775694344	52379.573916602116
3500.0	5.0	72726.76642410539	154205.0500588741	251686.64867312493	268750.0932454808	192410.82907216082	112079.32494373065	50120.975676987284
3750.0	2.0	112824.07040419744	245996.73098411923	311457.30271686136	303787.1108171079	238497.64984507445	194870.81925488892	84574.77489171347
3750.0	2.5	116275.03070888104	240866.1074134335	313070.3629468286	308605.70193969423	240557.03610675628	194757.21613511237	83513.95480665936
3750.0	3.0	120691.45189501831	238605.63124992864	316839.3117763748	315016.1992239791	243295.58427833172	193159.64420791558	81790.35949383449
3750.0	3.5	123743.8396859107	238520.04568500235	322451.8008067321	322017.88204134407	245084.02212953972	188543.7911990323	78962.95319869323
3750.0	4.0	122424.83518486391	238990.3810411788	328263.77921267226	326904.82387127425	241557.21670501167	176518.04421122395	74097.5321116015
3750.0	4.5	123542.86755702832	247017.5087771577	336128.9728312409	331643.8343760139	235505.9921229607	158363.34234051296	68378.59562114703
3750.0	5.0	125911.43440670171	259414.54868592587	344406.7739298314	336199.8818126942	231827.2762906441	145147.0243506343	64246.12124965034
4000.0	2.0	228050.61704225568	449395.06166293146	450519.0274347995	397625.6707666763	287468.19008948683	218284.87569197326	93718.46290312494
4000.0	2.5	230441.2059240555	444202.6173844926	450726.6860161437	399088.0584739392	287135.77386311104	219381.16689361076	93623.21513266466
4000.0	3.0	232225.45653301338	439219.45930665947	452205.2362726323	402071.3757816409	287867.8333390094	219793.79344851617	93260.1436643216
4000.0	3.5	232377.48632898225	435023.79579510906	455707.63887690374	407130.5065453874	289669.0351877606	219051.96988861565	92402.04004479495
